ime;pozicija;starost;sezona;država;klub1;liga1;klub2;liga2;cena
Neymar;Left Wing;25;17/18;Brazil;FC Barcelona;Spain;Paris Saint-Germain;France;222
Paul Pogba;Central Midfield;23;16/17;France;Juventus FC;Italy;Manchester United;England;105
Ousmane Dembélé;Left Wing;20;17/18;France;Borussia Dortmund;Germany;FC Barcelona;Spain;105
Gareth Bale;Right Wing;24;13/14;Wales;Tottenham Hotspur;England;Real Madrid;Spain;101
Cristiano Ronaldo;Centre-Forward;24;9.okt;Portugal;Manchester United;England;Real Madrid;Spain;94
Gonzalo Higuaín;Centre-Forward;28;16/17;Argentina;SSC Napoli;Italy;Juventus FC;Italy;90
Neymar;Left Wing;21;13/14;Brazil;Santos FC;Brazil;FC Barcelona;Spain;88,2
Romelu Lukaku;Centre-Forward;24;17/18;Belgium;Everton FC;England;Manchester United;England;84,7
Luis Suárez;Centre-Forward;27;14/15;Uruguay;Liverpool FC;England;FC Barcelona;Spain;81,72
Virgil van Dijk;Centre-Back;26;17/18;Netherlands;Southampton FC;England;Liverpool FC;England;78,8
Zinédine Zidane;Attacking Midfield;29;1.feb;France;Juventus FC;Italy;Real Madrid;Spain;77,5
James Rodríguez;Attacking Midfield;23;14/15;Colombia;AS Monaco;Monaco;Real Madrid;Spain;75
Ángel Di María;Right Wing;26;14/15;Argentina;Real Madrid;Spain;Manchester United;England;75
Naby Keïta;Central Midfield;23;18/19;Guinea;RB Leipzig;Germany;Liverpool FC;England;75
Kevin De Bruyne;Attacking Midfield;24;15/16;Belgium;VfL Wolfsburg;Germany;Manchester City;England;74
Zlatan Ibrahimovic;Centre-Forward;27;9.okt;Sweden;Inter Milan;Italy;FC Barcelona;Spain;69,5
Diego Costa;Centre-Forward;29;17/18;Spain;Chelsea FC;England;Atlético Madrid;Spain;66
Kaká;Attacking Midfield;27;9.okt;Brazil;AC Milan;Italy;Real Madrid;Spain;65
Edinson Cavani;Centre-Forward;26;13/14;Uruguay;SSC Napoli;Italy;Paris Saint-Germain;France;64,5
Ángel Di María;Right Wing;27;15/16;Argentina;Manchester United;England;Paris Saint-Germain;France;63
Raheem Sterling;Right Wing;20;15/16;England;Liverpool FC;England;Manchester City;England;62,5
Álvaro Morata;Centre-Forward;24;17/18;Spain;Real Madrid;Spain;Chelsea FC;England;62
Luís Figo;Right Wing;27;00/01;Portugal;FC Barcelona;Spain;Real Madrid;Spain;60
Anthony Martial;Left Wing;19;15/16;France;AS Monaco;Monaco;Manchester United;England;60
Oscar;Attacking Midfield;25;16/17;Brazil;Chelsea FC;England;Shanghai SIPG;China;60
Fernando Torres;Centre-Forward;26;10.nov;Spain;Liverpool FC;England;Chelsea FC;England;58,5
Benjamin Mendy;Left-Back;23;17/18;France;AS Monaco;Monaco;Manchester City;England;57,5
Hernán Crespo;Centre-Forward;25;00/01;Argentina;Parma Calcio 1913;Italy;SS Lazio;Italy;56,81
Hulk;Right Wing;29;16/17;Brazil;Zenit St. Petersburg;Russia;Shanghai SIPG;China;55,8
John Stones;Centre-Back;22;16/17;England;Everton FC;England;Manchester City;England;55,6
